Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
Super Mario World: The Magical Golden Mushroom,Super Mario World: The Magical Golden Mushroom,,70,Intermediate,Standard,,,,
Super Mario World: The Magical Wand,Super Mario World: The Magical Wand,,6,Casual,Standard,,,,
Super Mario World: The Megaman 29th anniversary adventure,Super Mario World: The Megaman 29th anniversary adventure,,90,Casual,Standard,,,,
Super Mario World: The Meteor...,Super Mario World: The Meteor...,,7,Casual,Standard,,,,
Super Mario World: The Mysterious Armada,Super Mario World: The Mysterious Armada,,8,Casual,Standard,,,,
Super Mario World: The New World,Super Mario World: The New World,,26,Casual,Standard,,,,
Super Mario World: The Return of Bowser,Super Mario World: The Return of Bowser,,7,Intermediate,Standard,,,,
Super Mario World: The Secret of 4 Colour Switch,Super Mario World: The Secret of 4 Colour Switch,,9,Intermediate,Standard,,,,
Super Mario World: The Secret of the 7 Golden Statues,Super Mario World: The Secret of the 7 Golden Statues,,86,Intermediate,Standard,,,,
Super Mario World: The Secret of the Lands!,Super Mario World: The Secret of the Lands!,,22,Casual,Standard,,,,
Super Mario World: The Star Field,Super Mario World: The Star Field,,58,Intermediate,Standard,,,,
Super Mario World: Twentieth Anniversary Edition,Super Mario World: Twentieth Anniversary Edition,,21,Newcomer,Standard,,,,
Super Mario World: Uber Edition,Super Mario World: Uber Edition,,6,Newcomer,Standard,,,,
Super Mario World: Winter's Delight,Super Mario World: Winter's Delight,,4,Newcomer,Standard,,,,
Super Mario World-2,Super Mario World-2,,90,Advanced,Standard,,,,
Super Mario World²,Super Mario World²,,6,Newcomer,Standard,,,,
Super Mario World-3,Super Mario World-3,,111,Expert,Standard,,,,
Super Mario Worldwide,Super Mario Worldwide,,28,Casual,Standard,,,,
Super Mario Worldwide 2,Super Mario Worldwide 2,,66,Casual,Standard,,,,
Super Mario Wornilla,Super Mario Wornilla,,77,Intermediate,Standard,,,,
Super Mario Wornilla - Lost Levels,Super Mario Wornilla - Lost Levels,,20,Master,Kaizo,,,,
Super Mario X,Super Mario X,,7,Newcomer,Standard,,,,
Super Mario Yggdrasil,Super Mario Yggdrasil,,30,Casual,Standard,,,,
Super Mario: A Familiar Land,Super Mario: A Familiar Land,,7,Casual,Standard,,,,
Super Mario: A New Beginning,Super Mario: A New Beginning,,30,Intermediate,Standard,,,,
Super Mario: Bowser's Last Stand,Super Mario: Bowser's Last Stand,,12,Casual,Standard,,,,
Super Mario: Bowser's Shinedown,Super Mario: Bowser's Shinedown,,6,Newcomer,Standard,,,,
Super Mario: Buried Treasure,Super Mario: Buried Treasure,,23,Casual,Standard,,,,
Super Mario: Christmas Season,Super Mario: Christmas Season,,1,Newcomer,Standard,,,,
Super Mario: Daisy's Kidnapping,Super Mario: Daisy's Kidnapping,,32,Casual,Standard,,,,
Super Mario: Grand Journey,Super Mario: Grand Journey,,15,Casual,Standard,,,,
Super Mario: Hunter's Revenge 2,Super Mario: Hunter's Revenge 2,,40,Casual,Standard,,,,
Super Mario: Hunter's Revenge 3,Super Mario: Hunter's Revenge 3,,58,Intermediate,Standard,,,,
Super Mario: Mushroom Legacy,Super Mario: Mushroom Legacy,,4,Newcomer,Standard,,,,
Super Mario: Nozom Quest (Level Sampler),Super Mario: Nozom Quest (Level Sampler),,6,Intermediate,Standard,,,,
Super Mario: Oiram's Invasion,Super Mario: Oiram's Invasion,,12,Casual,Standard,,,,
Super Mario: Other World,Super Mario: Other World,,31,Casual,Standard,,,,
Super Mario: RamzaProject,Super Mario: RamzaProject,,6,Casual,Standard,,,,
Super Mario: Star Seeker,Super Mario: Star Seeker,,5,Casual,Standard,,,,
Super Mario: Summer Gone Wrong,Super Mario: Summer Gone Wrong,,5,Newcomer,Standard,,,,
Super Mario: The Cookie Crisis,Super Mario: The Cookie Crisis,,46,Casual,Standard,,,,
Super Mario: The Egg Rescue,Super Mario: The Egg Rescue,,1,Casual,Standard,,,,
Super Mario: The Evil Coalition,Super Mario: The Evil Coalition,,16,Newcomer,Standard,,,,
Super Mario: The Five Castles Challenge,Super Mario: The Five Castles Challenge,,5,Expert,Kaizo,,,,
Super Mario: The Friends' Rescue,Super Mario: The Friends' Rescue,,12,Casual,Standard,,,,
Super Mario: The Infection,Super Mario: The Infection,,8,Intermediate,Standard,,,,
Super Mario: The Quest for Breakfast,Super Mario: The Quest for Breakfast,,19,Casual,Standard,,,,
Super Mario: Toadworth's Disappearance,Super Mario: Toadworth's Disappearance,,35,Newcomer,Standard,,,,
Super Mario: Ucronia,Super Mario: Ucronia,,5,Newcomer,Standard,,,,
Super Mario: Universos Paralelos,Super Mario: Universos Paralelos,,14,Casual,Standard,,,,
Super Mario's Adventure To Waste Time,Super Mario's Adventure To Waste Time,,6,Advanced,"Kaizo, Tool-Assisted",,,,
Super Mario's Island Hopping Adventure,Super Mario's Island Hopping Adventure,,10,Newcomer,Standard,,,,
Super Mario's Legend Quest!,Super Mario's Legend Quest!,,11,Newcomer,Standard,,,,
Super Mario's Legend: Vacations at the Tropics,Super Mario's Legend: Vacations at the Tropics,,9,Casual,Standard,,,,
Super Mario's New Adventure 2: The Villain's Revenge,Super Mario's New Adventure 2: The Villain's Revenge,,10,Newcomer,Standard,,,,
Super Mario's New Adventure: The Plumber's Fury,Super Mario's New Adventure: The Plumber's Fury,,25,Casual,Standard,,,,
Super Mario's Wacky Worlds SD,Super Mario's Wacky Worlds SD,,25,Intermediate,Standard,,,,
Super Marisa Adventure World,Super Marisa Adventure World,,101,Master,"Standard, Kaizo",,,,
Super Marisa Adventure World 2 - Mari Mari Back Forward Around,Super Marisa Adventure World 2 - Mari Mari Back Forward Around,,96,Master,"Standard, Kaizo",,,,
Super Mawaru World,Super Mawaru World,,15,Master,Kaizo,,,,
Super Melas World,Super Melas World,,11,Advanced,Kaizo,,,,
Super Mez World,Super Mez World,,20,Advanced,Kaizo,,,,
Super Mio World,Super Mio World,,13,Expert,Kaizo,,,,
Super Mirror Dimension,Super Mirror Dimension,,17,Expert,Kaizo,,,,
Super Mish World,Super Mish World,,6,Advanced,Standard,,,,
Super Mona World,Super Mona World,,4,Intermediate,Kaizo,,,,
Super Monty World,Super Monty World,,31,Expert,Kaizo,,,,
Super Moo World,Super Moo World,,16,Intermediate,Kaizo,,,,
Super Muncher Slopes,Super Muncher Slopes,,12,Master,Kaizo,,,,
Super Mushroom Planet,Super Mushroom Planet,,11,Newcomer,Standard,,,,
Super N3TS Kaizo World 1,Super N3TS Kaizo World 1,,6,Advanced,Kaizo,,,,
Super N3TS Kaizo World 2,Super N3TS Kaizo World 2,,22,Expert,Kaizo,,,,
Super N3TS Kaizo World 3 ( Revenge Of The Lost Shells ),Super N3TS Kaizo World 3 ( Revenge Of The Lost Shells ),,30,Master,Kaizo,,,,
Super N450 World,Super N450 World,,10,Casual,Standard,,,,
Super Nambona World,Super Nambona World,,1,Expert,"Kaizo, Tool-Assisted",,,,
Super Nana World,Super Nana World,,14,Expert,Kaizo,,,,
Super Nantucket World,Super Nantucket World,,8,Intermediate,Kaizo,,,,
Super Napu World,Super Napu World,,22,Advanced,Kaizo,,,,
Super Nario World,Super Nario World,,10,Intermediate,Standard,,,,
Super NemMeViu World,Super NemMeViu World,,23,Intermediate,Standard,,,,
Super NemMeViu World 2,Super NemMeViu World 2,,21,Intermediate,"Standard, Kaizo",,,,
Super Nessy World,Super Nessy World,,4,Master,Kaizo,,,,
Super Nessy World 2,Super Nessy World 2,,10,Expert,"Standard, Kaizo",,,,
Super Ninji Land,Super Ninji Land,,30,Casual,Standard,,,,
Super Ninji Land 2: A Ninji's Journey,Super Ninji Land 2: A Ninji's Journey,,42,Intermediate,Standard,,,,
Super Ninji Land Reawakened,Super Ninji Land Reawakened,,50,Casual,Standard,,,,
Super Normal World,Super Normal World,,14,Intermediate,Standard,,,,
Super Nostalgia World,Super Nostalgia World,,7,Newcomer,Standard,,,,
Super Nothing World,Super Nothing World,,25,Advanced,"Standard, Kaizo",,,,
Super Nova,Super Nova,,18,Expert,Kaizo,,,,
Super Nova Deluxe,Super Nova Deluxe,,18,Advanced,Kaizo,,,,
Super Nova World,Super Nova World,,19,Intermediate,Standard,,,,
Super Odd World,Super Odd World,,21,Expert,Kaizo,,,,
Super Odd World 2,Super Odd World 2,,5,Newcomer,Standard,,,,
Super Omelette World,Super Omelette World,,29,Newcomer,Standard,,,,
Super One Point Oh,Super One Point Oh,,6,Expert,Kaizo,,,,
Super Only Up with Fennet Boddy's Jump Prince,Super Only Up with Fennet Boddy's Jump Prince,,0,Master,Kaizo,,,,
Super Ordinary World,Super Ordinary World,,14,Expert,Kaizo,,,,
Super Oreetv World,Super Oreetv World,,23,Expert,Kaizo,,,,
Super Panga World,Super Panga World,,12,Master,Kaizo,,,,
Super Paper Luigi,Super Paper Luigi,,4,Newcomer,Standard,,,,
Super pcclub88 World,Super pcclub88 World,,9,Expert,Kaizo,,,,
Super pcclub88 World II: The Return of the Fog,Super pcclub88 World II: The Return of the Fog,,7,Master,Kaizo,,,,
Super Peach World,Super Peach World,,35,Advanced,Standard,,,,
Super Peggy World,Super Peggy World,,13,Intermediate,Kaizo,,,,
Super Penny World,Super Penny World,,16,Expert,Kaizo,,,,
Super Pika Land Ultra: Chocolate Version,Super Pika Land Ultra: Chocolate Version,,60,Advanced,Standard,,,,
Super Pika Land Ultra: Vanilla Version,Super Pika Land Ultra: Vanilla Version,,78,Intermediate,Standard,,,,
Super PKlepek World,Super PKlepek World,,9,Advanced,Kaizo,,,,
super place land!,super place land!,,5,Newcomer,Standard,,,,
Super Plinko World,Super Plinko World,,75,Casual,Standard,,,,
Super Plumber Mario World,Super Plumber Mario World,,18,Casual,Standard,,,,
Super Practice World,Super Practice World,,4,Intermediate,Kaizo,,,,
Super Puzzle Land 2 - Remastered,Super Puzzle Land 2 - Remastered,,28,Expert,"Kaizo, Puzzle",,,,
Super Race World,Super Race World,,5,Intermediate,Standard,,,,
Super RDK,Super RDK,,15,Advanced,Kaizo,,,,
Super Reasonable World,Super Reasonable World,,16,Master,Kaizo,,,,
Super Refund World,Super Refund World,,22,Grandmaster,Kaizo,,,,
Super Regiane-se,Super Regiane-se,,19,Advanced,Kaizo,,,,
Super Reimu World Return To Hack,Super Reimu World Return To Hack,,77,Intermediate,Standard,,,,
Super Responsible World,Super Responsible World,,20,Grandmaster,Kaizo,,,,
Super Riff World,Super Riff World,,26,Master,Kaizo,,,,
Super Rtyuio World: Part 1,Super Rtyuio World: Part 1,,34,Casual,Standard,,,,
Super Run World,Super Run World,,25,Advanced,Kaizo,,,,
Super Russian World,Super Russian World,,23,Advanced,Standard,,,,
Super Russian World Prequel,Super Russian World Prequel,,10,Advanced,Standard,,,,
Super Ryu World,Super Ryu World,,14,Advanced,Kaizo,,,,
Super Ryu World 2,Super Ryu World 2,,17,Expert,Kaizo,,,,
Super Sabor World Deluxe,Super Sabor World Deluxe,,22,Expert,Kaizo,,,,
Super Salary World,Super Salary World,,4,Expert,Kaizo,,,,
Super Samuroy Adventures,Super Samuroy Adventures,,11,Intermediate,"Kaizo, Tool-Assisted",,,,
Super Sauce Search,Super Sauce Search,,10,Casual,Standard,,,,
Super Schrausch World,Super Schrausch World,,23,Expert,Kaizo,,,,
Super Schrausch World 2,Super Schrausch World 2,,18,Expert,Kaizo,,,,
Super Sekai World,Super Sekai World,,25,Expert,Kaizo,,,,
Super SGES Races season 1+2,Super SGES Races season 1+2,,10,Intermediate,Kaizo,,,,
Super Sheffy World 2: The Quest for 5 Shells,Super Sheffy World 2: The Quest for 5 Shells,,13,Master,Kaizo,,,,
Super Sheffy World Deluxe,Super Sheffy World Deluxe,,15,Expert,Kaizo,,,,
Super shell world,Super shell world,,11,Advanced,Kaizo,,,,
Super ShyGuy's Epic Journey,Super ShyGuy's Epic Journey,,9,Advanced,Kaizo,,,,
Super Sickos World,Super Sickos World,,11,Advanced,Standard,,,,
Super Sigma World,Super Sigma World,,14,Intermediate,Kaizo,,,,
Super Skyler World,Super Skyler World,,3,Casual,Standard,,,,
Super Slider World,Super Slider World,,7,Intermediate,Kaizo,,,,
Super Slim World,Super Slim World,,18,Intermediate,Kaizo,,,,
Super Smile Face World,Super Smile Face World,,20,Newcomer,Standard,,,,
Super Special World,Super Special World,,105,Intermediate,Standard,,,,
Super Speed World,Super Speed World,,4,Intermediate,"Standard, Kaizo",,,,
Super Spice World,Super Spice World,,6,Casual,Standard,,,,
Super Sponge World,Super Sponge World,,5,Intermediate,Standard,,,,
Super Stacey World,Super Stacey World,,15,Advanced,Kaizo,,,,
Super Struggler World,Super Struggler World,,13,Intermediate,Kaizo,,,,
super super com,super super com,,18,Casual,Standard,,,,
Super Super Duper World,Super Super Duper World,,8,Expert,Kaizo,,,,
Super Sweg World,Super Sweg World,,8,Casual,Standard,,,,
Super Swordi World,Super Swordi World,,33,Expert,Kaizo,,,,
Super Swordi World 2,Super Swordi World 2,,14,Expert,Kaizo,,,,
Super Swunsh World,Super Swunsh World,,11,Expert,Kaizo,,,,
Super Swunsh World 2,Super Swunsh World 2,,17,Expert,Kaizo,,,,
Super Tanoshii World,Super Tanoshii World,,9,Intermediate,Kaizo,,,,
Super Tapes World,Super Tapes World,,9,Advanced,Kaizo,,,,
Super Tesla World,Super Tesla World,,20,Expert,Kaizo,,,,
Super Thesis World,Super Thesis World,,11,Expert,Kaizo,,,,
Super This Hack Is Registered As Leathal Weapon World,Super This Hack Is Registered As Leathal Weapon World,,9,Master,Kaizo,,,,
Super Toest World,Super Toest World,,12,Expert,Kaizo,,,,
Super Toshio World,Super Toshio World,,14,Expert,Kaizo,,,,
Super Tr-lol World,Super Tr-lol World,,7,Casual,Standard,,,,
Super UltiMario World,Super UltiMario World,,19,Casual,Standard,,,,
Super Unethical Stuff I Built for GlitchCat7 Because He Told Me To World,Super Unethical Stuff I Built for GlitchCat7 Because He Told Me To World,,11,Master,Kaizo,,,,
Super Unethical Stuff I Built for Thabeast721 Because He Told Me To World,Super Unethical Stuff I Built for Thabeast721 Because He Told Me To World,,11,Master,Kaizo,,,,
Super Vanilla World,Super Vanilla World,,23,Casual,Standard,,,,
Super Video World,Super Video World,,17,Intermediate,Kaizo,,,,
Super Video World 2,Super Video World 2,,11,Advanced,Kaizo,,,,
Super Wahnthac World,Super Wahnthac World,,11,Expert,Kaizo,,,,
Super Wahnthac World 2,Super Wahnthac World 2,,12,Expert,Kaizo,,,,
Super Wakana Land,Super Wakana Land,,69,Advanced,Standard,,,,
Super Waluigi World Thwompz Fortress,Super Waluigi World Thwompz Fortress,,11,Intermediate,Kaizo,,,,
Super Waluigi: Rescue Wario,Super Waluigi: Rescue Wario,,11,Casual,Standard,,,,
Super Wario World,Super Wario World,,31,Advanced,Kaizo,,,,
Super Wario World 2: The Four Castles,Super Wario World 2: The Four Castles,,22,Expert,Kaizo,,,,
Super Wario World Mini Quest Update 2 + Bonus Pack,Super Wario World Mini Quest Update 2 + Bonus Pack,,23,Casual,Standard,,,,
Super Weekend World,Super Weekend World,,3,Intermediate,Kaizo,,,,
Super What World,Super What World,,3,Master,"Kaizo, Puzzle",,,,
Super Whatever Quest!!!,Super Whatever Quest!!!,,36,Advanced,"Standard, Kaizo",,,,
Super Wisdom Quest,Super Wisdom Quest,,25,Intermediate,Standard,,,,
Super World,Super World,,14,Advanced,Kaizo,,,,
Super Wow,Super Wow,,13,Intermediate,Kaizo,,,,
Super Xtreme World,Super Xtreme World,,11,Casual,Standard,,,,
Super Yeet World,Super Yeet World,,7,Expert,Kaizo,,,,
Super Yoshi's Land 1 – An Adventure to Rescue Mario!,Super Yoshi's Land 1 – An Adventure to Rescue Mario!,,25,Casual,Standard,,,,
super you are the best,super you are the best,,16,Expert,Kaizo,,,,
Super Zoulzi World,Super Zoulzi World,,3,Advanced,Kaizo,,,,
Supercontinent World,Supercontinent World,,12,Master,Kaizo,,,,
SuperKazuWorld,SuperKazuWorld,,9,Expert,Kaizo,,,,
supernaydropzsmm2,supernaydropzsmm2,,15,Intermediate,Kaizo,,,,
Superstar Mario World,Superstar Mario World,,63,Intermediate,Standard,,,,
Survivor,Survivor,,1,Advanced,Kaizo,,,,
Suupaa Mario-sama Seken,Suupaa Mario-sama Seken,,6,Casual,Standard,,,,
SV Bounce World,SV Bounce World,,15,Master,Kaizo,,,,
SV Bounce World 2,SV Bounce World 2,,10,Master,Kaizo,,,,
SV Practice World,SV Practice World,,13,Intermediate,Kaizo,,,,
SV State World,SV State World,,13,Expert,Kaizo,,,,
Sweet Dream Agnes,Sweet Dream Agnes,,14,Expert,Kaizo,,,,
Sweet n' Sour,Sweet n' Sour,,27,Expert,Kaizo,,,,
Sweet Shell,Sweet Shell,,13,Intermediate,Kaizo,,,,
Sweet World,Sweet World,,12,Intermediate,Kaizo,,,,
Swiftly 17,Swiftly 17,,17,Advanced,Kaizo,,,,
T3rminus: Journey´s End,T3rminus: Journey´s End,,9,Expert,Kaizo,,,,
Tajna and the Mana Seeds,Tajna and the Mana Seeds,,6,Casual,Standard,,,,
Take It Easy World,Take It Easy World,,17,Advanced,Kaizo,,,,
Takemoto Inspired,Takemoto Inspired,,2,Advanced,Kaizo,,,,
Takeshi Yumping Simulator,Takeshi Yumping Simulator,,1,Master,Kaizo,,,,
Tales of Nean,Tales of Nean,,24,Casual,Standard,,,,
TaleSpin,TaleSpin,,11,Grandmaster,Kaizo,,,,
Talikuu Quest,Talikuu Quest,,14,Newcomer,Standard,,,,
Tangle's Trip,Tangle's Trip,,11,Advanced,Standard,,,,
Tartastrophe: a very sticky hack,Tartastrophe: a very sticky hack,,1,Grandmaster,Kaizo,,,,
Tatsujin Mario part 1,Tatsujin Mario part 1,,89,Grandmaster,Kaizo,,,,
Tatsujin Mario part 2,Tatsujin Mario part 2,,89,Grandmaster,Kaizo,,,,
TDC Shells Edition,TDC Shells Edition,,0,Advanced,Kaizo,,,,
Teamwork Mario,Teamwork Mario,,8,Expert,Kaizo,,,,
Tears Joy and Happiness v1.1,Tears Joy and Happiness v1.1,,21,Master,Kaizo,,,,
Tebeo,Tebeo,,24,Expert,Kaizo,,,,
Tebeo 2,Tebeo 2,,20,Expert,Kaizo,,,,
Technicolor Mario World,Technicolor Mario World,,16,Casual,Standard,,,,
Teh Hack,Teh Hack,,5,Casual,Standard,,,,
Teh Hack 2,Teh Hack 2,,26,Casual,Standard,,,,
Ten,Ten,,10,Casual,Standard,,,,
TEN A-Side,TEN A-Side,,10,Advanced,Standard,,,,
TEN B-Side,TEN B-Side,,10,Advanced,Standard,,,,
Terminus,Terminus,,11,Advanced,Kaizo,,,,
Terminus 2,Terminus 2,,15,Expert,Kaizo,,,,
Terra,Terra,,21,Expert,Kaizo,,,,
Terraria,Terraria,,4,Casual,Standard,,,,
TERRIBLE,TERRIBLE,,12,Casual,Standard,,,,
te's Exo,te's Exo,,0,Intermediate,Standard,,,,
test.smc | The old and new Mario World,test.smc | The old and new Mario World,,41,Intermediate,Standard,,,,
"Thanks, I hate it","Thanks, I hate it",,5,Advanced,Kaizo,,,,
Thanksgiving Hack,Thanksgiving Hack,,6,Intermediate,Standard,,,,
'the,'the,,1,Casual,Standard,,,,
The 11th Annual Vanilla Level Design Contest: Compilation Hack,The 11th Annual Vanilla Level Design Contest: Compilation Hack,,116,Intermediate,Standard,,,,
The 12th Annual Vanilla Level Design Contest: Compilation Hack,The 12th Annual Vanilla Level Design Contest: Compilation Hack,,131,Intermediate,Standard,,,,
The 1st Annual Vanilla Level Design Contest: Compilation Hack,The 1st Annual Vanilla Level Design Contest: Compilation Hack,,76,Intermediate,Standard,,,,
The 1st Old-School Level Design Contest: Compilation Hack,The 1st Old-School Level Design Contest: Compilation Hack,,113,Intermediate,Standard,,,,
The 2nd Old-School Level Design Contest: Compilation Hack,The 2nd Old-School Level Design Contest: Compilation Hack,,150,Intermediate,Standard,,,,
The 3 Little Princesses,The 3 Little Princesses,,27,Intermediate,Standard,,,,
The 4 Heroes Of The Great Land,The 4 Heroes Of The Great Land,,37,Advanced,Standard,,,,
The 4 Keys of Safety,The 4 Keys of Safety,,6,Newcomer,Standard,,,,
The 5 Dragon Gems,The 5 Dragon Gems,,10,Casual,Standard,,,,
The 5 Keys,The 5 Keys,,5,Newcomer,Standard,,,,
The 6th Annual Vanilla Level Design Contest: Compilation Hack,The 6th Annual Vanilla Level Design Contest: Compilation Hack,,114,Intermediate,Standard,,,,
The 7th Annual Vanilla Level Design Contest: Compilation Hack,The 7th Annual Vanilla Level Design Contest: Compilation Hack,,86,Intermediate,Standard,,,,
The 8th Annual Vanilla Level Design Contest: Compilation Hack,The 8th Annual Vanilla Level Design Contest: Compilation Hack,,121,Advanced,Standard,,,,
The 9th Annual Vanilla Level Design Contest: Compilation Hack,The 9th Annual Vanilla Level Design Contest: Compilation Hack,,152,Advanced,Standard,,,,
The Adventures of Bucken Berry and Ala-Gold,The Adventures of Bucken Berry and Ala-Gold,,93,Intermediate,Standard,,,,
The Adventures Of Super Mario,The Adventures Of Super Mario,,6,Newcomer,Standard,,,,
The Amazing Autowalk Adventure,The Amazing Autowalk Adventure,,14,Master,Kaizo,,,,
The Art of Shells,The Art of Shells,,10,Expert,Kaizo,,,,
The artifacts of marvelous birds,The artifacts of marvelous birds,,45,Casual,Standard,,,,
The Baby Rescue - Starring Yoshi & Friends!,The Baby Rescue - Starring Yoshi & Friends!,,10,Advanced,Kaizo,,,,
The Big Boo's Legion,The Big Boo's Legion,,10,Newcomer,Standard,,,,
The Big Boo's Legion 2: The Curse of the Magic Wand,The Big Boo's Legion 2: The Curse of the Magic Wand,,8,Casual,Standard,,,,
The Big Fish Chrisis,The Big Fish Chrisis,,3,Casual,Standard,,,,
The Big Five,The Big Five,,5,Intermediate,"Kaizo, Tool-Assisted",,,,
The Bonus Rooms,The Bonus Rooms,,0,Newcomer,Standard,,,,
The Cave of Loathing,The Cave of Loathing,,1,Master,Kaizo,,,,
The Cave of Loathing 2,The Cave of Loathing 2,,1,Grandmaster,Kaizo,,,,
The Chamber of 32 Doors,The Chamber of 32 Doors,,0,Expert,Kaizo,,,,
The Clockwork Chronicles,The Clockwork Chronicles,,12,Expert,Kaizo,,,,
The Coin Hunt,The Coin Hunt,,6,Newcomer,Standard,,,,
The Coin Hunt 2,The Coin Hunt 2,,9,Casual,Standard,,,,
The Conventional Isle,The Conventional Isle,,12,Expert,Kaizo,,,,
The Crimson Castle,The Crimson Castle,,14,Master,Kaizo,,,,
The Darkside REMASTERED,The Darkside REMASTERED,,12,Expert,Kaizo,,,,
The Devious Four Chronicles 3: The Crater,The Devious Four Chronicles 3: The Crater,,100,Intermediate,Standard,,,,
The Devious Four Chronicles 4: Hunter's Revenge ReVised,The Devious Four Chronicles 4: Hunter's Revenge ReVised,,107,Intermediate,Standard,,,,
The Devious Four Chronicles 6 : The Fourth Sector,The Devious Four Chronicles 6 : The Fourth Sector,,102,Intermediate,Standard,,,,
The Devious Four Chronicles 8 : Goddess Robes,The Devious Four Chronicles 8 : Goddess Robes,,23,Casual,Standard,,,,
The Dimensional Castle Starring Aeron,The Dimensional Castle Starring Aeron,,4,Advanced,"Standard, Kaizo",,,,
The Duality of Mario,The Duality of Mario,,4,Expert,Kaizo,,,,
The Eggs Of Saear,The Eggs Of Saear,,32,Newcomer,Standard,,,,
The Epic Quest Of Birdo The Pink Dinosaur,The Epic Quest Of Birdo The Pink Dinosaur,,34,Intermediate,Standard,,,,
The Epic Quest Of Birdo The Pink Dinosaur Dark Behaviours,The Epic Quest Of Birdo The Pink Dinosaur Dark Behaviours,,41,Intermediate,Standard,,,,
The Epic Quest Of Birdo The Vampire Subcon Journey,The Epic Quest Of Birdo The Vampire Subcon Journey,,44,Intermediate,Standard,,,,
The Evil Maze,The Evil Maze,,4,Intermediate,Standard,,,,
The Expansion of the Combat Zone,The Expansion of the Combat Zone,,8,Grandmaster,Kaizo,,,,
The Fallen Star,The Fallen Star,,8,Casual,Standard,,,,
The Fellership,The Fellership,,12,Expert,Kaizo,,,,
The First Round,The First Round,,0,Intermediate,Kaizo,,,,
the first smw hack that will ever be so lucky as to gain the luxury of leaving my pc,the first smw hack that will ever be so lucky as to gain the luxury of leaving my pc,,13,Casual,Standard,,,,
"The Five ""Five Room"" Room Castle","The Five ""Five Room"" Room Castle",,5,Master,Kaizo,,,,
The Forest of Rovaki,The Forest of Rovaki,,8,Newcomer,Standard,,,,
"The Forever Mystery, Part One: Rescue!","The Forever Mystery, Part One: Rescue!",,49,Casual,Standard,,,,
"The Forever Mystery, Part Zero: Prologue","The Forever Mystery, Part Zero: Prologue",,7,Newcomer,Standard,,,,
The Forgotten Island,The Forgotten Island,,22,Casual,Standard,,,,
The Fort,The Fort,,1,Intermediate,"Kaizo, Tool-Assisted",,,,
The Found Levels featuring Aeron,The Found Levels featuring Aeron,,9,Advanced,"Standard, Kaizo",,,,
The Four Boos of the Apocalypse,The Four Boos of the Apocalypse,,16,Grandmaster,Kaizo,,,,
The Fragmented Realm,The Fragmented Realm,,12,Casual,Standard,,,,
The Friends We Made,The Friends We Made,,18,Master,Kaizo,,,,
The Fugue,The Fugue,,0,Newcomer,Standard,,,,
The Gatekeeper Strikes Again!!!,The Gatekeeper Strikes Again!!!,,17,Intermediate,Standard,,,,
The Getaway,The Getaway,,8,Expert,Kaizo,,,,
The Grassy Plains,The Grassy Plains,,4,Casual,Standard,,,,
The Great Giana Sisters,The Great Giana Sisters,,33,Newcomer,Standard,,,,
The Great Giana Sisters 2: Another Generical Hack,The Great Giana Sisters 2: Another Generical Hack,,28,Advanced,Standard,,,,
The Great Giana Sisters 3: The Forgotten Dream,The Great Giana Sisters 3: The Forgotten Dream,,5,Advanced,Standard,,,,
The Great Search,The Great Search,,0,Intermediate,Standard,,,,
The Green Plumber's Adventure: A Future Prequel,The Green Plumber's Adventure: A Future Prequel,,12,Casual,Standard,,,,
The grey chapter,The grey chapter,,4,Expert,Kaizo,,,,
The Hackening,The Hackening,,7,Expert,Kaizo,,,,
The Hackrooms,The Hackrooms,,0,Advanced,Standard,,,,
The Halloween Island,The Halloween Island,,9,Casual,Standard,,,,
The Hand Of Chaos,The Hand Of Chaos,,9,Casual,Standard,,,,
The Hangover,The Hangover,,53,Casual,Standard,,,,
The Hard,The Hard,,13,Grandmaster,Kaizo,,,,
The Haunt,The Haunt,,2,Casual,Standard,,,,
The Haunted Desert: OLD EDITION,The Haunted Desert: OLD EDITION,,1,Intermediate,Standard,,,,
The Haunted Desert: REMASTERED,The Haunted Desert: REMASTERED,,0,Casual,Standard,,,,
The Hodgepodge: A Collection of Would Be Scrapped Levels,The Hodgepodge: A Collection of Would Be Scrapped Levels,,10,Expert,Kaizo,,,,
The Hooray! - Fishing Season,The Hooray! - Fishing Season,,14,Casual,Standard,,,,
The House of Many Trolls,The House of Many Trolls,,1,Casual,Standard,,,,
The Hungrymumbles Project,The Hungrymumbles Project,,16,Advanced,Kaizo,,,,
The Hunt for the Chocolate Egg,The Hunt for the Chocolate Egg,,8,Casual,Standard,,,,
The Joy of Kaizo,The Joy of Kaizo,,54,Master,Kaizo,,,,
The Junkbox,The Junkbox,,6,Casual,Standard,,,,
The Last Journey,The Last Journey,,16,Expert,Kaizo,,,,
The Last Straw,The Last Straw,,14,Casual,Standard,,,,
The Left Hand of Rosalina,The Left Hand of Rosalina,,13,Expert,Kaizo,,,,
The Legend of Randorland 1 - The Rise of Randor - Resurrected,The Legend of Randorland 1 - The Rise of Randor - Resurrected,,37,Casual,Standard,,,,
The Legend of Randorland 3 - Randor's Eternal Empire,The Legend of Randorland 3 - Randor's Eternal Empire,,36,Casual,Standard,,,,
The Legend Of Red Plumber,The Legend Of Red Plumber,,22,Master,Kaizo,,,,
